name,reg_number,auth_capital,park_id
CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT KHANG GIA,0313375871,40000000000,8
CÔNG TY CỔ PHẦN GỖ CAO SU THIÊN HƯNG,3801036564,40000000000,3
CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI GIẢI PHÁP XANH BÌNH PHƯỚC,3800958485,40000000000,2
CÔNG TY CỔ PHẦN CÔNG NGHIỆP NAM HƯNG PHƯỚC,3801253093,42000000000,12
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ CÔNG NGHỆ MỚI,3800694112,46200000000,1
CÔNG TY TNHH RONGHENG (VIỆT NAM),3801123418,46200000000,2
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI GỖ TRƯỜNG XUÂN,3801162590,50000000000,10
CÔNG TY CỔ PHẦN NAN XIONG VIỆT NAM,3800303538,50000000000,3
CÔNG TY CỔ PHẦN GĂNG TAY BÌNH PHƯỚC,3801241436,60000000000,3
CÔNG TY TNHH MỘT THÀNH VIÊN BÁCH KINH,3800858804,63000000000,3
CÔNG TY TNHH HÀ PHƯỚC THỊNH,3801210501,70000000000,8
CÔNG TY CỔ PHẦN SINH KHỐI NAHNOOM,3800661773,80000000000,8
CÔNG TY CỔ PHẦN GREEN WOOD BÌNH PHƯỚC ENERGY,3801057395,80000000000,8
CÔNG TY CỔ PHẦN KIM TÍN DECOR,3801266529,86080000000,5
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ CHẾ BIẾN GỖ THIÊN DƯƠNG,3801295784,100000000000,3
CÔNG TY TNHH ĐẦU TƯ CHƠN THÀNH CAPITAL,3801209418,100000000000,3
CÔNG TY CỔ PHẦN ECO EASTWOOD NÔNG TRƯỜNG XANH BÌNH PHƯỚC,3801287712,100000000000,3
CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG ĐẠI HOÀNG KIM,3801302978,100000000000,5
CÔNG TY TNHH CHIEF,3801282009,120000000000,3
CÔNG TY TNHH SẢN XUẤT KẾT CẤU THÉP HỒNG TÍN,3801240552,150000000000,5
CÔNG TY CỔ PHẦN EASTWOOD ENERGY,3801061715,160000000000,3
CÔNG TY TNHH LUYỆN KIM THĂNG LONG,3800307324,160000000000,1
CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHIỆP BOSS,3801294357,168000000000,12
CÔNG TY CỔ PHẦN CÔNG NGHIỆP ĐẠI HẠNH PHÚC,3801266053,200000000000,12
CÔNG TY CỔ PHẦN KIM TÍN MDF ĐỒNG PHÚ,3801119852,580450560000,7
CÔNG TY CỔ PHẦN ĐẦU TƯ KINH DOANH NHÀ BÌNH PHƯỚC,3800369828,600000000000,10
CÔNG TY CỔ PHẦN KIM TÍN MDF CHƠN THÀNH,3801253696,603232000000,5
CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ GIẤY THUẬN AN,3801140300,2500000000000,2
