Name,Activity Code,Activity Description,Industrial Zone
CÔNG TY TNHH YAKJIN SÀI GÒN,1410,May trang phục (trừ trang phục từ da lông thú),KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ VÀ SẢN XUẤT QUANG TUẤN,4620,"Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống",KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH MỘT THÀNH VIÊN THỦY TIN,5510,Dịch vụ lưu trú ngắn ngày,KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH  XÂY DỰNG DỊCH VỤ THÀNH ĐẠT ,4663,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng",KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH DUCKIL TEXTILE VINA,3290,Sản xuất khác chưa được phân vào đâu,KCN MINH HƯNG HÀN QUỐC
CÔNG TY TNHH RONGHENG (VIỆT NAM),1621,"Sản xuất gỗ dán, gỗ lạng, ván ép và ván mỏng khác",KCN MINH HƯNG III
CÔNG TY TNHH MỘT THÀNH VIÊN ĐẠI ĐỈNH PHÁT,6810,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",KCN MINH HƯNG III
CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI VÀ DỊCH VỤ HOÀNG NGỌC BP,4771,"Bán lẻ hàng may mặc, giày dép, hàng da và giả da trong các cửa hàng chuyên doanh",KCN NAM ĐỒNG PHÚ
CÔNG TY TNHH TOÀN PHÁT ĐỒNG PHÚ,5610,Nhà hàng và các dịch vụ ăn uống phục vụ lưu động,KCN NAM ĐỒNG PHÚ
CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ TRỌNG LỰC,5510,Dịch vụ lưu trú ngắn ngày,KCN NAM ĐỒNG PHÚ
CÔNG TY TNHH THƯƠNG MẠI GIÀY DA VIETCAN,1520,Sản xuất giày dép,KCN CHƠN THÀNH
CÔNG TY TNHH XUÂN HƯỞNG BÌNH PHƯỚC,5210,Kho bãi và lưu giữ hàng hóa,KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH HẰNG KHOA VIỆT NAM,3290,Sản xuất khác chưa được phân vào đâu,KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ JU YOUNG,1410,May trang phục (trừ trang phục từ da lông thú),KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH  ĐẦU TƯ VÀ PHÁT TRIỂN DỰ ÁN LÊ MINH,6810,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",KCN ĐỒNG XOÀI II
CÔNG TY TNHH GIẤY SHENG DA VN,1629,"Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rơm, rạ và vật liệu tết bện",KCN CHƠN THÀNH
CÔNG TY TNHH GỖ ĐỒNG PHÚC,1629,"Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rơm, rạ và vật liệu tết bện",KCN CHƠN THÀNH
CÔNG TY TNHH MỘT THÀNH VIÊN CƠ KHÍ - XE NÂNG TRUNG HIẾU,4520,"Bảo dưỡng, sửa chữa ô tô và xe có động cơ khác",KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI KIM HOÀNG MINH,4530,Bán phụ tùng và các bộ phận phụ trợ của ô tô và xe có động cơ khác,KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI KIM NAM HẢI,4530,Bán phụ tùng và các bộ phận phụ trợ của ô tô và xe có động cơ khác,KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH SẢN XUẤT KẾT CẤU THÉP HỒNG TÍN,2599,Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu,KCN BECAMEX BÌNH PHƯỚC
CÔNG TY TNHH GIẤY BAO BÌ MỸ THỊNH,1702,"Sản xuất giấy nhăn, bìa nhăn, bao bì từ giấy và bìa",KCN ĐỒNG XOÀI III
CÔNG TY TNHH NỘI THẤT HẰNG DỤ,3100,"Sản xuất giường, tủ, bàn, ghế",KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH MỘT THÀNH VIÊN YIHUI,2220,Sản xuất sản phẩm từ plastic,KCN NAM ĐỒNG PHÚ
CÔNG TY TNHH MTV BAF MEAT BÌNH PHƯỚC,1010,"Chế biến, bảo quản thịt và các sản phẩm từ thịt",KCN MINH HƯNG SIKICO
CÔNG TY TNHH MỘT THÀNH VIÊN SX VÀ TM ĐỨC MẠNH HÙNG,4662,Bán buôn kim loại và quặng kim loại,KCN CHƠN THÀNH
CÔNG TY TNHH KIM THỦY NGÂN,6810,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",KCN NAM ĐỒNG PHÚ
CÔNG TY TNHH CUNG CẤP THIẾT BỊ BỂ CÁ CẢNH YUSEE VIỆT NAM,2220,Sản xuất sản phẩm từ plastic,KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH XÂY DỰNG DỰ ÁN ACB,2592,Gia công cơ khí; xử lý và tráng phủ kim loại,KCN CHƠN THÀNH I
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ THANH THẢO BP,4669,Bán buôn chuyên doanh khác chưa được phân vào đâu,KCN CHƠN THÀNH
